ticket_title,ticket_price,ticket_description,ticket_venue,ticket_booking_link,ticket_booking_provider,ticket_booking_datetime,ticket_created_at,ticket_image_url,category_id,ticket_event_start_datetime,ticket_event_end_datetime
마르크 샤갈 특별전 : BEYOND TIME,"성인25,000원; 청소년/어린이18,000원",없음,예술의전당 한가람미술관 1층,http://www.ticketlink.co.kr/product/56476,티켓링크,예매링크 참조,2025-06-05 10:11:49.599075,https://image.toast.com/aaaaab/ticketlink/TKL_10/티켓링크-메인포스터_720x889.jpg,4,2025-05-23,2025-09-21
"문도픽사(Mundo Pixar) : 픽사, 상상의세계로","성인45,000원; 청소년(14~19세)39,000원; 어린이(13세 이하)37,000원; 경로우대(65세 이상)37,000원; 3인 패밀리 패키지 (성인2+어린이 1인)109,000원",없음,성수문화예술마당,http://www.ticketlink.co.kr/product/55739,티켓링크,2025-04-08 11:00:00,2025-06-05 10:11:52.019014,https://image.toast.com/aaaaab/ticketlink/TKL_7/poster최종.png,4,2025-05-05,2025-06-29
새나라 새미술: 조선 전기 미술 대전,"개막기념 무료입장0원; 성인(만25~64세)8,000원; 청소년(만13~24세)6,000원; 어린이(만7~12세)4,000원; 문화가 있는 날(성인)4,000원",없음,국립중앙박물관 특별전시실1,http://www.ticketlink.co.kr/product/56538,티켓링크,예매링크 참조,2025-06-05 10:12:03.414613,https://image.toast.com/aaaaab/ticketlink/TKL_1/main_720_250522.jpg,4,2025-06-10,2025-08-31
"마나모아나 - 신성한 바다의 예술, 오세아니아","성인(만25~64세)5,000원; 어린이 및 청소년(만7~24세)3,000원",없음,국립중앙박물관 특별전시실2,http://www.ticketlink.co.kr/product/55759,티켓링크,예매링크 참조,2025-06-05 10:12:05.785129,https://image.toast.com/aaaaab/ticketlink/TKL_5/리사이징_마나모아나-포스터리사이즈-720-889.jpg,4,2025-04-30,2025-09-14
[얼리버드 40%] 에스더버니 특별전,"일반권20,000원; 더보이즈 스페셜35,000원",없음,예술의전당 한가람디자인미술관,http://www.ticketlink.co.kr/product/56085,티켓링크,예매링크 참조,2025-06-05 10:12:08.202299,https://image.toast.com/aaaaab/ticketlink/TKL_8/main_720(9).jpg,4,2025-06-28,2025-07-15
모네에서 앤디워홀까지,"성인20,000원; 청소년16,000원; 어린이12,000원",없음,세종문화회관 미술관,http://www.ticketlink.co.kr/product/56298,티켓링크,예매링크 참조,2025-06-05 10:12:11.721072,https://image.toast.com/aaaaab/ticketlink/TKL_1/mone_pst05313.jpg,4,2025-05-16,2025-08-31
[얼리버드] 앨리스 달튼 브라운 회고전,"일반20,000원",없음,더현대 서울 ALT.1,http://www.ticketlink.co.kr/product/56015,티켓링크,2025-05-26 00:00:00,2025-06-05 10:12:15.665679,https://image.toast.com/aaaaab/ticketlink/TKL_7/main_720_250428.jpg,4,2025-06-13,2025-08-31
[얼리버드] 캐서린 번하드 전,"성인22,000원; 청소년17,000원; 어린이15,000원",없음,예술의전당 한가람미술관 3층,http://www.ticketlink.co.kr/product/56001,티켓링크,2025-05-01 10:00:00,2025-06-05 10:12:19.531766,https://image.toast.com/aaaaab/ticketlink/TKL_4/tl_720-889_0423.jpg,4,2025-06-06,2025-07-06
앤서니 브라운展: 마스터 오브 스토리텔링,"성인 (만19세 이상)22,000원; 어린이/청소년(24개월~만18세)16,000원; 어린이/청소년 포함 3인권45,000원; 어린이/청소년 포함 4인권59,000원",없음,예술의전당 한가람미술관 2층,http://www.ticketlink.co.kr/product/56082,티켓링크,2025-05-02 00:00:00,2025-06-05 10:12:22.590762,https://image.toast.com/aaaaab/ticketlink/TKL_3/[2025앤서니]메인포스터_0513.jpg,4,2025-05-02,2025-09-28
세르주 블로크 展,"성인15,000원; 청소년/어린이10,000원",없음,예술의전당 한가람미술관 제7전시실,http://www.ticketlink.co.kr/product/56370,티켓링크,예매링크 참조,2025-06-05 10:12:25.617688,https://image.toast.com/aaaaab/ticketlink/TKL_3/main_720(2).jpg,4,2025-05-29,2025-08-17
뉴욕의 거장들: 잭슨 폴록과 마크 로스코의 친구들,없음,없음,노원문화예술회관 노원아트뮤지엄,http://www.ticketlink.co.kr/product/52919,티켓링크,2024-12-10 00:00:00,2025-06-05 10:12:28.441345,https://image.toast.com/aaaaab/ticketlink/TKL_10/a01(1).jpg,4,2025-01-10,2025-07-12
퓰리처상 사진전 - 대구,"성인20,000원; 청소년,어린이15,000원",없음,뮤씨엄 대구점,http://www.ticketlink.co.kr/product/56234,티켓링크,2025-05-13 09:00:00,2025-06-05 10:12:31.426903,https://image.toast.com/aaaaab/ticketlink/TKL_5/pul_pst_0509.jpg,4,2025-04-25,2025-10-12
파리의 휴일,"성인26,000원; 청소년23,000원; 어린이20,000원",없음,K 현대미술관,http://www.ticketlink.co.kr/product/56528,티켓링크,예매링크 참조,2025-06-05 10:12:49.083094,https://image.toast.com/aaaaab/ticketlink/TKL_8/paris_pst_0523.jpg,4,2024-07-13,2025-08-31
소피 폰 헬러만:축제,"성인8,000원",없음,스페이스K 서울,http://www.ticketlink.co.kr/product/55393,티켓링크,예매링크 참조,2025-06-05 10:12:51.450892,https://image.toast.com/aaaaab/ticketlink/TKL_6/Festival_pst0319.png,4,2025-04-09,2025-07-06
파충류 동반자,"성인12,000원; 청소년 (초등학생~고등학생)10,000원; 어린이 (36개월 ~ )7,000원",없음,SETEC,http://www.ticketlink.co.kr/product/56084,티켓링크,2025-05-07 10:00:00,2025-06-05 10:12:53.853176,https://image.toast.com/aaaaab/ticketlink/TKL_10/main_720(5).jpg,4,2025-06-28,2025-06-29
화랑미술제 in 수원,"성인20,000원; 청소년/어린이15,000원",없음,"수원컨벤션센터 1층, 3층",http://www.ticketlink.co.kr/product/56212,티켓링크,예매링크 참조,2025-06-05 10:12:56.905590,https://image.toast.com/aaaaab/ticketlink/TKL_8/main_720(8).jpg,4,2025-06-27,2025-06-29
